month,retailsales,percapitaincome,population,unemployment,inventory,yoygtenp,inventorygrowth,percapitagrowth,inventorygrowthabovefive,percapitagrowthabove
01/01/92,130683,5264.2,255331,7.3,242006,NO,8.3,5.2,YES,YES
01/02/92,131244,5303.8,255576,7.4,243508,NO,8.3,5.2,YES,YES
01/03/92,142488,5325.5,255848,7.4,244490,NO,8.3,5.2,YES,YES
01/04/92,147175,5359.8,256139,7.4,248011,NO,8.3,5.2,YES,YES
01/05/92,152420,5395.6,256437,7.6,248451,NO,8.3,5.2,YES,YES
01/06/92,151849,5427.8,256742,7.8,250561,NO,8.3,5.2,YES,YES
01/07/92,152586,5441.3,257063,7.7,255808,NO,8.3,5.2,YES,YES
01/08/92,152476,5469.7,257390,7.6,254217,NO,8.3,5.2,YES,YES
01/09/92,148158,5457.7,257704,7.6,254826,NO,8.3,5.2,YES,YES
01/10/92,155987,5450.1,258004,7.3,255151,NO,8.3,5.2,YES,YES
01/11/92,154824,5472.7,258280,7.4,256549,NO,8.3,5.2,YES,YES
01/12/92,191347,5682.1,258546,7.4,260277,NO,8.3,5.2,YES,YES
01/01/93,137020,5539.2,258799,7.3,261977,NO,8.3,5.2,YES,YES
01/02/93,134462,5573,259036,7.1,264812,NO,8.7,5.1,YES,YES
01/03/93,153025,5569.9,259283,7,268089,NO,9.7,4.6,YES,NO
01/04/93,158615,5626.7,259547,7.1,268440,NO,8.2,5.0,YES,NO
01/05/93,163519,5642.8,259822,7.1,269177,NO,8.3,4.6,YES,NO
01/06/93,162964,5637.9,260109,7,270101,NO,7.8,3.9,YES,NO
01/07/93,164590,5665.2,260411,6.9,271413,NO,6.1,4.1,YES,NO
01/08/93,163989,5687.2,260717,6.8,270425,NO,6.4,4.0,YES,NO
01/09/93,159298,5680.3,261015,6.7,272235,NO,6.8,4.1,YES,NO
01/10/93,163992,5674.3,261294,6.8,273558,NO,7.2,4.1,YES,NO
01/11/93,169980,5699.6,261550,6.6,276059,NO,7.6,4.1,YES,NO
01/12/93,206174,5899.1,261796,6.5,278477,NO,7,3.8,YES,NO
01/01/94,145276,5784.5,262021,6.6,277376,NO,5.9,4.4,YES,NO
01/02/94,146332,5803.8,262237,6.6,279423,NO,5.5,4.1,YES,NO
01/03/94,173562,5835.5,262491,6.5,280320,YES,4.6,4.8,NO,NO
01/04/94,170795,5896.8,262754,6.4,281775,NO,5,4.8,NO,NO
01/05/94,175527,5917.5,263014,6.1,286905,NO,6.6,4.9,YES,NO
01/06/94,178509,5923.9,263294,6.1,291434,NO,7.9,5.1,YES,YES
01/07/94,173198,5952.6,263580,6.1,291509,NO,7.4,5.1,YES,YES
01/08/94,182445,5974.8,263871,6,296381,YES,9.6,5.1,YES,YES
01/09/94,175128,6007.6,264159,5.9,300093,NO,10.2,5.8,YES,YES
01/10/94,178642,6071.6,264430,5.8,300409,NO,9.8,7.0,YES,YES
01/11/94,184272,6081.8,264681,5.6,302308,NO,9.5,6.7,YES,YES
01/12/94,221549,6114.7,264924,5.5,304483,NO,9.3,3.7,YES,NO
01/01/95,158004,6155.5,265157,5.6,308180,NO,11.1,6.4,YES,YES
01/02/95,155156,6180.4,265383,5.4,310376,NO,11.1,6.5,YES,YES
01/03/95,181910,6207.6,265625,5.4,313061,NO,11.7,6.4,YES,YES
01/04/95,176635,6231.3,265877,5.8,315718,NO,12,5.7,YES,YES
01/05/95,190269,6245.8,266134,5.6,317587,NO,10.7,5.5,YES,YES
01/06/95,191609,6275.1,266414,5.6,318321,NO,9.2,5.9,YES,YES
01/07/95,182909,6304.3,266700,5.7,317658,NO,9,5.9,YES,YES
01/08/95,193370,6327.2,266998,5.7,320043,NO,8,5.9,YES,YES
01/09/95,182521,6356.2,267304,5.6,320168,NO,6.7,5.8,YES,YES
01/10/95,184276,6382.3,267585,5.5,322429,NO,7.3,5.1,YES,YES
01/11/95,193405,6403.1,267829,5.6,325199,NO,7.6,5.3,YES,YES
01/12/95,227552,6427.4,268047,5.6,322191,NO,5.8,5.1,YES,YES
01/01/96,167372,6463.8,268258,5.6,323183,NO,4.9,5.0,NO,YES
01/02/96,173941,6528.1,268480,5.5,323893,YES,4.4,5.6,NO,YES
01/03/96,191851,6570.9,268724,5.5,321429,NO,2.7,5.9,NO,YES
01/04/96,191886,6608.1,268980,5.6,321992,NO,2,6.0,NO,YES
01/05/96,205797,6648.4,269247,5.6,324466,NO,2.2,6.4,NO,YES
01/06/96,196842,6693,269527,5.3,324831,NO,2,6.7,NO,YES
01/07/96,197140,6694,269822,5.5,328889,NO,3.5,6.2,NO,YES
01/08/96,204270,6722.5,270130,5.1,330734,NO,3.3,6.2,NO,YES
01/09/96,189424,6761.1,270433,5.2,331602,NO,3.6,6.4,NO,YES
01/10/96,201927,6783,270730,5.2,333928,NO,3.6,6.3,NO,YES
01/11/96,203621,6817.2,271002,5.4,332953,NO,2.4,6.5,NO,YES
01/12/96,237478,6852.1,271243,5.4,333222,NO,3.4,6.6,NO,YES
01/01/97,181073,6901.2,271472,5.3,332840,NO,3,6.8,NO,YES
01/02/97,178428,6938.1,271703,5.2,335174,NO,3.5,6.3,NO,YES
01/03/97,203750,6978.7,271952,5.2,333469,NO,3.7,6.2,NO,YES
01/04/97,199219,6991.4,272213,5.1,335254,NO,4.1,5.8,NO,YES
01/05/97,211516,7020.4,272482,4.9,336473,NO,3.7,5.6,NO,YES
01/06/97,205491,7054.9,272767,5,337897,NO,4,5.4,NO,YES
01/07/97,208856,7090.6,273074,4.9,340104,NO,3.4,5.9,NO,YES
01/08/97,211952,7138.2,273395,4.8,338699,NO,2.4,6.2,NO,YES
01/09/97,201415,7177.1,273703,4.9,341704,NO,3,6.2,NO,YES
01/10/97,210145,7224.3,273989,4.7,342191,NO,2.5,6.5,NO,YES
01/11/97,207533,7276.1,274249,4.6,342204,NO,2.8,6.7,NO,YES
